time_index,session_id,voltage,current,energy_kwh,status,label
0,S1,231.3,10.3,0.00066,charging,normal
1,S1,230.2,10.4,0.00133,charging,normal
2,S1,231.3,10.0,0.00197,charging,normal
3,S1,231.1,9.6,0.00259,charging,normal
4,S1,230.6,10.4,0.00325,charging,normal
5,S1,230.6,9.6,0.00387,charging,normal
6,S1,231.6,10.2,0.00452,charging,normal
7,S1,230.3,10.5,0.00519,charging,normal
8,S1,231.9,10.2,0.00585,charging,normal
9,S1,230.4,10.3,0.00651,charging,normal
10,S1,231.7,9.7,0.00714,charging,normal
11,S1,230.3,10.1,0.00778,charging,normal
12,S1,231.6,10.5,0.00846,charging,normal
13,S1,231.4,9.6,0.00907,charging,normal
14,S1,230.8,9.7,0.0097,charging,normal
15,S1,231.6,9.7,0.01032,charging,normal
16,S1,231.7,9.6,0.01094,charging,normal
17,S1,231.9,9.9,0.01158,charging,normal
18,S1,231.8,10.2,0.01223,charging,normal
19,S1,231.6,10.3,0.01289,charging,normal
20,S1,231.9,10.2,0.01355,charging,normal
21,S1,230.9,9.6,0.01417,charging,normal
22,S1,232.0,10.5,0.01484,charging,normal
23,S1,230.5,10.3,0.0155,charging,normal
24,S1,230.1,10.2,0.01616,charging,normal
25,S1,231.2,10.3,0.01682,charging,normal
26,S1,231.7,9.6,0.01743,charging,normal
27,S1,231.5,9.6,0.01805,charging,normal
28,S1,230.3,9.6,0.01867,charging,normal
29,S1,230.8,10.5,0.01934,finished,normal
0,S2,232.8,10.7,0.00069,charging,normal
1,S2,232.3,10.1,0.00134,charging,normal
2,S2,232.4,9.9,0.00198,charging,normal
3,S2,231.9,10.7,0.00267,charging,normal
4,S2,233.1,10.3,0.00334,charging,normal
5,S2,233.0,9.9,0.00398,charging,normal
6,S2,233.7,10.1,0.00464,charging,normal
7,S2,232.3,10.7,0.00533,charging,normal
8,S2,233.0,10.1,0.00598,charging,normal
9,S2,232.6,10.6,0.00666,charging,normal
10,S2,233.5,10.1,0.00732,charging,normal
11,S2,233.5,10.0,0.00797,charging,normal
12,S2,232.8,10.7,0.00866,charging,normal
13,S2,232.3,9.9,0.0093,charging,normal
14,S2,233.6,10.1,0.00995,charging,normal
15,S2,233.7,10.4,0.01063,charging,normal
16,S2,233.4,10.7,0.01132,charging,normal
17,S2,233.3,10.5,0.012,charging,normal
18,S2,231.8,10.3,0.01267,charging,normal
19,S2,232.5,10.6,0.01335,charging,normal
20,S2,233.1,10.5,0.01403,charging,normal
21,S2,232.4,9.9,0.01467,charging,normal
22,S2,233.1,10.5,0.01535,charging,normal
23,S2,233.5,10.3,0.01602,charging,normal
24,S2,232.6,10.4,0.01669,charging,normal
25,S2,233.4,9.8,0.01733,charging,normal
26,S2,233.0,10.1,0.01798,charging,normal
27,S2,232.8,9.9,0.01862,charging,normal
28,S2,233.7,9.9,0.01926,charging,normal
29,S2,233.4,10.3,0.01993,finished,normal
0,S3,228.6,9.1,0.00058,charging,normal
1,S3,230.1,9.4,0.00118,charging,normal
2,S3,229.1,9.8,0.0018,charging,normal
3,S3,229.2,9.1,0.00238,charging,normal
4,S3,228.5,9.6,0.00299,charging,normal
5,S3,228.5,9.7,0.00361,charging,normal
6,S3,228.4,9.5,0.00421,charging,normal
7,S3,228.5,10.0,0.00484,charging,normal
8,S3,228.2,9.0,0.00541,charging,normal
9,S3,229.0,9.3,0.00601,charging,normal
10,S3,229.7,9.1,0.00659,charging,normal
11,S3,230.1,9.1,0.00717,charging,normal
12,S3,229.7,9.1,0.00775,charging,normal
13,S3,228.3,9.1,0.00833,charging,normal
14,S3,228.3,10.0,0.00896,charging,normal
15,S3,229.5,9.7,0.00958,charging,normal
16,S3,229.4,9.3,0.01017,charging,normal
17,S3,229.9,9.0,0.01075,charging,normal
18,S3,229.8,9.4,0.01135,charging,normal
19,S3,229.7,9.3,0.01194,charging,normal
20,S3,229.3,9.1,0.01252,charging,normal
21,S3,228.4,9.3,0.01311,charging,normal
22,S3,229.6,9.0,0.01368,charging,normal
23,S3,228.2,9.0,0.01425,charging,normal
24,S3,229.4,9.3,0.01485,charging,normal
25,S3,229.4,9.2,0.01543,charging,normal
26,S3,229.4,9.4,0.01603,charging,normal
27,S3,228.5,9.3,0.01662,charging,normal
28,S3,229.9,9.1,0.0172,charging,normal
29,S3,228.4,9.0,0.01777,finished,normal
0,S4,231.5,10.5,0.00068,charging,normal
1,S4,230.7,10.7,0.00136,charging,normal
2,S4,230.7,10.6,0.00204,charging,normal
3,S4,231.7,10.5,0.00272,charging,normal
4,S4,231.0,10.2,0.00337,charging,normal
5,S4,231.9,10.5,0.00405,charging,normal
6,S4,230.5,10.7,0.00473,charging,normal
7,S4,230.9,10.5,0.00541,charging,normal
8,S4,231.6,10.0,0.00605,charging,normal
9,S4,231.9,10.8,0.00674,charging,normal
10,S4,230.4,10.0,0.00738,charging,normal
11,S4,231.6,10.1,0.00803,charging,normal
12,S4,232.3,10.1,0.00869,charging,normal
13,S4,232.1,10.1,0.00934,charging,normal
14,S4,232.0,9.9,0.00998,charging,normal
15,S4,231.7,10.7,0.01066,charging,normal
