time_index,session_id,scenario,voltage,current,energy_kwh
0,S_NORM_1,normal,230.58,32.05,0.00205
1,S_NORM_1,normal,229.9,32.24,0.00411
2,S_NORM_1,normal,230.16,32.25,0.00617
3,S_NORM_1,normal,229.68,32.03,0.00822
4,S_NORM_1,normal,230.7,32.16,0.01028
5,S_NORM_1,normal,230.23,31.92,0.01232
6,S_NORM_1,normal,229.99,31.65,0.01434
7,S_NORM_1,normal,229.39,31.73,0.01636
8,S_NORM_1,normal,231.33,32.21,0.01843
9,S_NORM_1,normal,229.99,31.83,0.02047
10,S_NORM_1,normal,230.55,31.6,0.02249
11,S_NORM_1,normal,230.63,31.63,0.02452
12,S_NORM_1,normal,229.62,31.86,0.02655
13,S_NORM_1,normal,229.63,31.82,0.02858
14,S_NORM_1,normal,230.74,32.21,0.03064
15,S_NORM_1,normal,229.7,32.06,0.03269
16,S_NORM_1,normal,229.86,32.23,0.03475
17,S_NORM_1,normal,230.6,31.84,0.03679
18,S_NORM_1,normal,229.38,31.84,0.03882
19,S_NORM_1,normal,229.5,32.06,0.04086
20,S_NORM_1,normal,230.3,32.14,0.04292
21,S_NORM_1,normal,230.02,31.85,0.04495
22,S_NORM_1,normal,229.85,32.11,0.047
23,S_NORM_1,normal,230.26,31.93,0.04904
24,S_NORM_1,normal,230.53,32.08,0.0511
25,S_NORM_1,normal,230.6,32.25,0.05316
26,S_NORM_1,normal,229.68,31.95,0.0552
27,S_NORM_1,normal,230.15,32.33,0.05727
28,S_NORM_1,normal,230.47,32.0,0.05932
29,S_NORM_1,normal,229.37,32.22,0.06137
30,S_NORM_1,normal,230.53,31.85,0.06341
31,S_NORM_1,normal,230.6,31.93,0.06546
32,S_NORM_1,normal,229.98,32.03,0.0675
33,S_NORM_1,normal,229.61,31.98,0.06954
34,S_NORM_1,normal,230.1,31.76,0.07157
35,S_NORM_1,normal,229.72,31.95,0.07361
36,S_NORM_1,normal,229.64,31.87,0.07564
37,S_NORM_1,normal,229.51,32.22,0.0777
38,S_NORM_1,normal,229.77,31.73,0.07972
39,S_NORM_1,normal,230.21,32.3,0.08179
40,S_NORM_1,normal,230.08,32.03,0.08384
41,S_NORM_1,normal,229.79,32.07,0.08588
42,S_NORM_1,normal,229.52,31.91,0.08792
43,S_NORM_1,normal,229.93,31.9,0.08995
44,S_NORM_1,normal,230.17,31.85,0.09199
45,S_NORM_1,normal,230.13,32.03,0.09404
46,S_NORM_1,normal,229.28,31.91,0.09607
47,S_NORM_1,normal,229.86,31.89,0.09811
48,S_NORM_1,normal,230.39,32.1,0.10016
49,S_NORM_1,normal,230.61,31.63,0.10219
50,S_NORM_1,normal,230.3,32.04,0.10424
51,S_NORM_1,normal,229.36,31.95,0.10627
52,S_NORM_1,normal,229.75,31.78,0.1083
53,S_NORM_1,normal,229.59,32.26,0.11036
54,S_NORM_1,normal,229.73,32.12,0.11241
55,S_NORM_1,normal,230.48,32.15,0.11447
56,S_NORM_1,normal,229.86,31.88,0.1165
57,S_NORM_1,normal,229.34,32.16,0.11855
58,S_NORM_1,normal,229.1,32.02,0.12059
59,S_NORM_1,normal,229.55,31.67,0.12261
0,S_NORM_2,normal,230.96,31.88,0.00205
1,S_NORM_2,normal,229.82,31.97,0.00409
2,S_NORM_2,normal,230.16,31.84,0.00612
3,S_NORM_2,normal,229.34,31.93,0.00816
4,S_NORM_2,normal,229.86,32.11,0.01021
5,S_NORM_2,normal,230.18,32.16,0.01226
6,S_NORM_2,normal,229.45,31.98,0.0143
7,S_NORM_2,normal,229.94,32.13,0.01635
8,S_NORM_2,normal,230.16,32.11,0.01841
9,S_NORM_2,normal,229.98,31.83,0.02044
10,S_NORM_2,normal,230.12,31.67,0.02246
11,S_NORM_2,normal,229.32,31.86,0.02449
12,S_NORM_2,normal,228.81,31.76,0.02651
13,S_NORM_2,normal,230.05,31.82,0.02855
14,S_NORM_2,normal,229.6,32.27,0.0306
15,S_NORM_2,normal,230.08,32.22,0.03266
16,S_NORM_2,normal,229.79,31.81,0.03469
17,S_NORM_2,normal,230.13,31.98,0.03674
18,S_NORM_2,normal,229.78,32.26,0.0388
19,S_NORM_2,normal,230.16,31.82,0.04083
20,S_NORM_2,normal,230.11,32.0,0.04288
21,S_NORM_2,normal,229.56,32.33,0.04494
22,S_NORM_2,normal,230.4,32.04,0.04699
23,S_NORM_2,normal,229.62,32.12,0.04904
24,S_NORM_2,normal,230.99,32.16,0.0511
25,S_NORM_2,normal,229.71,32.38,0.05317
26,S_NORM_2,normal,229.98,32.17,0.05522
27,S_NORM_2,normal,229.8,32.17,0.05728
28,S_NORM_2,normal,230.55,31.67,0.0593
29,S_NORM_2,normal,230.79,31.78,0.06134
30,S_NORM_2,normal,229.36,31.79,0.06337
31,S_NORM_2,normal,230.68,31.99,0.06542
32,S_NORM_2,normal,229.89,31.94,0.06746
33,S_NORM_2,normal,230.4,31.98,0.0695
34,S_NORM_2,normal,230.44,31.63,0.07153
35,S_NORM_2,normal,229.56,31.71,0.07355
36,S_NORM_2,normal,230.48,32.04,0.0756
37,S_NORM_2,normal,230.03,32.07,0.07765
38,S_NORM_2,normal,230.01,32.25,0.07971
39,S_NORM_2,normal,230.43,32.16,0.08177
40,S_NORM_2,normal,229.82,31.96,0.08381
41,S_NORM_2,normal,230.33,32.03,0.08586
42,S_NORM_2,normal,229.62,32.48,0.08793
43,S_NORM_2,normal,230.04,32.01,0.08998
44,S_NORM_2,normal,230.62,32.11,0.09203
45,S_NORM_2,normal,228.92,31.8,0.09405
46,S_NORM_2,normal,230.3,32.18,0.09611
47,S_NORM_2,normal,230.72,32.19,0.09818
48,S_NORM_2,normal,229.42,31.71,0.1002
49,S_NORM_2,normal,229.61,31.94,0.10223
50,S_NORM_2,normal,230.62,32.14,0.10429
51,S_NORM_2,normal,229.75,31.75,0.10632
52,S_NORM_2,normal,229.86,32.16,0.10837
53,S_NORM_2,normal,229.45,32.1,0.11042
54,S_NORM_2,normal,229.31,32.12,0.11247
55,S_NORM_2,normal,229.52,32.1,0.11451
56,S_NORM_2,normal,229.42,32.0,0.11655
57,S_NORM_2,normal,230.15,32.05,0.1186
58,S_NORM_2,normal,230.22,32.02,0.12065
59,S_NORM_2,normal,229.31,32.3,0.1227
0,S_NORM_3,normal,229.62,32.01,0.00204
1,S_NORM_3,normal,230.18,32.12,0.0041
2,S_NORM_3,normal,229.37,31.98,0.00613
3,S_NORM_3,normal,229.42,31.99,0.00817
4,S_NORM_3,normal,229.19,31.92,0.0102
5,S_NORM_3,normal,230.41,31.92,0.01225
6,S_NORM_3,normal,231.23,32.01,0.0143
7,S_NORM_3,normal,230.28,32.09,0.01636
8,S_NORM_3,normal,230.22,32.23,0.01842
9,S_NORM_3,normal,229.4,31.7,0.02044
10,S_NORM_3,normal,229.45,32.18,0.02249
11,S_NORM_3,normal,229.81,32.47,0.02456
12,S_NORM_3,normal,230.64,32.27,0.02663
13,S_NORM_3,normal,229.87,31.99,0.02867
14,S_NORM_3,normal,230.13,31.85,0.03071
15,S_NORM_3,normal,230.1,32.14,0.03276
16,S_NORM_3,normal,229.22,31.8,0.03479
17,S_NORM_3,normal,229.51,31.99,0.03683
18,S_NORM_3,normal,230.33,32.16,0.03888
19,S_NORM_3,normal,230.37,31.73,0.04091
20,S_NORM_3,normal,229.56,31.87,0.04295
21,S_NORM_3,normal,229.4,32.03,0.04499
22,S_NORM_3,normal,230.94,32.26,0.04706
23,S_NORM_3,normal,229.59,32.01,0.0491
24,S_NORM_3,normal,229.45,32.05,0.05114
25,S_NORM_3,normal,229.8,31.99,0.05318
26,S_NORM_3,normal,230.04,31.91,0.05522
27,S_NORM_3,normal,229.81,31.66,0.05724
28,S_NORM_3,normal,230.31,32.15,0.0593
29,S_NORM_3,normal,229.35,32.46,0.06137
30,S_NORM_3,normal,229.3,31.97,0.0634
31,S_NORM_3,normal,230.18,31.89,0.06544
32,S_NORM_3,normal,229.42,32.34,0.0675
33,S_NORM_3,normal,229.98,31.81,0.06954
34,S_NORM_3,normal,230.34,32.1,0.07159
35,S_NORM_3,normal,229.04,31.97,0.07362
36,S_NORM_3,normal,230.39,32.08,0.07568
37,S_NORM_3,normal,230.48,31.89,0.07772
38,S_NORM_3,normal,229.77,31.59,0.07974
39,S_NORM_3,normal,229.74,31.67,0.08176
40,S_NORM_3,normal,230.18,32.28,0.08382
41,S_NORM_3,normal,230.2,32.05,0.08587
42,S_NORM_3,normal,230.58,32.19,0.08793
43,S_NORM_3,normal,230.23,31.82,0.08997
44,S_NORM_3,normal,230.68,32.17,0.09203
45,S_NORM_3,normal,230.82,31.91,0.09407
46,S_NORM_3,normal,229.55,32.08,0.09612
47,S_NORM_3,normal,229.57,31.71,0.09814
48,S_NORM_3,normal,230.89,32.1,0.1002
49,S_NORM_3,normal,229.37,31.71,0.10222
50,S_NORM_3,normal,229.59,31.97,0.10426
51,S_NORM_3,normal,230.11,31.9,0.1063
52,S_NORM_3,normal,229.69,32.03,0.10834
53,S_NORM_3,normal,229.8,31.58,0.11036
54,S_NORM_3,normal,230.14,31.92,0.1124
55,S_NORM_3,normal,230.29,32.21,0.11446
56,S_NORM_3,normal,230.7,32.11,0.11652
57,S_NORM_3,normal,229.25,31.93,0.11855
58,S_NORM_3,normal,230.8,31.94,0.1206
59,S_NORM_3,normal,229.58,32.31,0.12266
0,S_NORM_4,normal,229.14,31.98,0.00204
1,S_NORM_4,normal,230.09,32.03,0.00408
2,S_NORM_4,normal,229.8,31.79,0.00611
3,S_NORM_4,normal,229.81,31.88,0.00815
4,S_NORM_4,normal,229.56,31.61,0.01016
5,S_NORM_4,normal,230.11,31.92,0.0122
6,S_NORM_4,normal,230.58,31.94,0.01425
7,S_NORM_4,normal,229.48,32.17,0.0163
8,S_NORM_4,normal,230.16,31.92,0.01834
9,S_NORM_4,normal,229.04,31.94,0.02037
10,S_NORM_4,normal,230.72,31.96,0.02242
11,S_NORM_4,normal,230.13,31.95,0.02446
12,S_NORM_4,normal,229.86,31.86,0.0265
13,S_NORM_4,normal,230.6,31.79,0.02853
14,S_NORM_4,normal,230.04,31.85,0.03057
15,S_NORM_4,normal,230.13,31.82,0.0326
16,S_NORM_4,normal,229.34,31.84,0.03463
17,S_NORM_4,normal,230.09,32.1,0.03668
18,S_NORM_4,normal,230.17,31.87,0.03872
19,S_NORM_4,normal,229.7,31.9,0.04075
20,S_NORM_4,normal,229.85,32.23,0.04281
21,S_NORM_4,normal,230.17,32.23,0.04487
22,S_NORM_4,normal,229.34,31.66,0.04689
23,S_NORM_4,normal,230.47,32.24,0.04895
24,S_NORM_4,normal,230.22,32.09,0.05101
25,S_NORM_4,normal,229.72,31.85,0.05304
26,S_NORM_4,normal,229.99,31.94,0.05508
27,S_NORM_4,normal,229.21,31.85,0.05711
28,S_NORM_4,normal,230.27,31.85,0.05914
29,S_NORM_4,normal,230.35,32.2,0.0612
30,S_NORM_4,normal,229.35,32.07,0.06325
31,S_NORM_4,normal,230.17,31.8,0.06528
