time_index,session_id,voltage,current,energy_kwh,status,label
0,S1,230.1,10.7,0.00068,charging,normal
1,S1,230.6,11.1,0.00139,charging,normal
2,S1,231.4,10.6,0.00208,charging,normal
3,S1,230.8,10.7,0.00276,charging,normal
4,S1,230.6,10.2,0.00342,charging,normal
5,S1,229.7,10.8,0.0041,charging,normal
6,S1,230.8,10.4,0.00477,charging,normal
7,S1,230.0,11.0,0.00547,charging,normal
8,S1,231.1,10.6,0.00615,charging,normal
9,S1,230.7,10.1,0.0068,charging,normal
10,S1,230.1,10.9,0.0075,charging,normal
11,S1,231.6,10.3,0.00816,charging,normal
12,S1,230.9,11.1,0.00887,charging,normal
13,S1,230.2,10.1,0.00952,charging,normal
14,S1,230.0,10.6,0.0102,charging,normal
15,S1,230.9,11.0,0.0109,charging,normal
16,S1,230.4,11.0,0.01161,charging,normal
17,S1,230.7,10.8,0.0123,charging,normal
18,S1,231.1,10.9,0.013,charging,normal
19,S1,230.6,10.9,0.0137,charging,normal
20,S1,230.6,10.8,0.01439,charging,normal
21,S1,230.6,10.4,0.01505,charging,normal
22,S1,231.4,10.2,0.01571,charging,normal
23,S1,230.7,10.3,0.01637,charging,normal
24,S1,230.0,10.6,0.01705,charging,normal
25,S1,230.2,10.5,0.01772,charging,normal
26,S1,229.7,10.3,0.01838,charging,normal
27,S1,231.4,11.0,0.01908,charging,normal
28,S1,231.1,10.7,0.01977,charging,normal
29,S1,230.4,10.5,0.02044,finished,normal
0,S2,228.3,10.8,0.00068,charging,fraud
1,S2,227.7,10.7,0.00136,charging,fraud
2,S2,227.8,10.5,0.00203,charging,fraud
3,S2,226.5,10.7,0.0027,charging,fraud
4,S2,228.3,10.2,0.00335,charging,fraud
5,S2,227.0,10.6,0.00401,charging,fraud
6,S2,226.5,10.1,0.00465,charging,fraud
7,S2,226.7,10.0,0.00528,charging,fraud
8,S2,228.2,10.6,0.00595,charging,fraud
9,S2,227.3,10.1,0.00659,charging,fraud
10,S2,286.7,10.5,0.00743,charging,fraud
11,S2,272.1,10.0,0.00818,charging,fraud
12,S2,283.8,10.2,0.00899,charging,fraud
13,S2,267.9,10.3,0.00975,charging,fraud
14,S2,277.9,10.8,0.01059,charging,fraud
15,S2,227.0,10.7,0.01126,charging,fraud
16,S2,227.3,10.8,0.01194,charging,fraud
17,S2,228.2,10.7,0.01262,charging,fraud
18,S2,228.1,10.9,0.01331,charging,fraud
19,S2,228.2,10.5,0.01398,charging,fraud
20,S2,226.9,10.5,0.01464,charging,fraud
21,S2,226.8,10.1,0.01527,charging,fraud
22,S2,227.6,10.9,0.01596,charging,fraud
23,S2,227.1,10.6,0.01663,charging,fraud
24,S2,226.6,10.1,0.01727,charging,fraud
25,S2,228.4,10.7,0.01795,charging,fraud
26,S2,227.5,10.3,0.0186,charging,fraud
27,S2,226.5,10.5,0.01926,charging,fraud
28,S2,226.5,10.1,0.01989,charging,fraud
29,S2,227.7,10.4,0.02055,finished,fraud
0,S3,232.1,9.5,0.00061,charging,normal
1,S3,231.1,9.4,0.00122,charging,normal
2,S3,232.1,9.7,0.00184,charging,normal
3,S3,232.3,9.1,0.00243,charging,normal
4,S3,231.5,9.8,0.00306,charging,normal
5,S3,232.0,9.2,0.00365,charging,normal
6,S3,232.3,9.3,0.00425,charging,normal
7,S3,232.2,9.5,0.00486,charging,normal
8,S3,232.4,9.8,0.0055,charging,normal
9,S3,232.8,9.0,0.00608,charging,normal
10,S3,231.1,9.8,0.00671,charging,normal
11,S3,232.1,9.5,0.00732,charging,normal
12,S3,232.9,9.5,0.00794,charging,normal
13,S3,232.4,9.4,0.00854,charging,normal
14,S3,232.8,9.8,0.00918,charging,normal
15,S3,232.9,9.0,0.00976,charging,normal
16,S3,233.0,9.1,0.01035,charging,normal
17,S3,231.1,9.8,0.01098,charging,normal
18,S3,231.2,9.8,0.01161,charging,normal
19,S3,231.7,9.6,0.01222,charging,normal
20,S3,232.1,9.5,0.01284,charging,normal
21,S3,231.5,9.7,0.01346,charging,normal
22,S3,231.6,9.8,0.01409,charging,normal
23,S3,231.8,9.4,0.0147,charging,normal
24,S3,231.7,9.6,0.01531,charging,normal
25,S3,231.4,9.5,0.01592,charging,normal
26,S3,231.3,9.7,0.01655,charging,normal
27,S3,232.2,9.8,0.01718,charging,normal
28,S3,232.1,9.5,0.01779,charging,normal
29,S3,232.3,9.8,0.01842,finished,normal
0,S4,230.4,9.8,0.00063,charging,normal
1,S4,231.2,10.6,0.00131,charging,normal
2,S4,230.7,10.2,0.00196,charging,normal
3,S4,229.7,10.7,0.00264,charging,normal
4,S4,230.9,10.2,0.0033,charging,normal
5,S4,230.3,10.4,0.00396,charging,normal
6,S4,231.3,10.1,0.00461,charging,normal
7,S4,230.8,10.3,0.00527,charging,normal
8,S4,230.5,10.0,0.00591,charging,normal
